,name,start_station_id,longitude,latitude,cell,capacity
0,7 JUNI PLASSEN,623,10.7312715000007,59.9150596000215,0,21
1,ADAMSTUEN,425,10.7344570000015,59.9327920000064,1,8
2,AHO,444,10.7504620000093,59.9252650000167,2,20
3,AKER BRYGGE,1755,10.730034556851,59.9111837218747,0,32
4,AKERSELVALLMENNINGEN,2333,10.75488466359,59.9072588989031,3,15
5,AKERSGATA,557,10.7428827999977,59.9141970999995,4,21
6,ALEXANDER KIELLANDS PLASS,421,10.7512752722765,59.9280634526166,2,24
7,ANKER HOSTEL,500,10.7581553000023,59.917279400006,5,12
8,ANKER HOTEL,500,10.7581553000023,59.9172794000054,5,12
9,ANNETTE THOMMESSENS PLASS,574,10.7609997999976,59.910739299999,6,12
10,ARENDALSGATA,472,10.754099999998,59.9377999999807,7,24
11,ARKADEN NORD,577,10.7480527000006,59.9121472000078,8,30
12,ARKADEN SØR,545,10.7478583000004,59.9119691000057,8,39
13,ARKITEKT RIVERTZ PLASS,383,10.7494660000037,59.9349360000207,7,29
14,BADEBAKKEN,592,10.7603597845137,59.9455836975928,9,18
15,BAK NIELS TRESCHOWS HUS NORD,619,10.7230167987641,59.9427714212947,10,42
16,BAK NIELS TRESCHOWS HUS SØR,618,10.7237705634694,59.9424607286157,10,42
17,BANKPLASSEN,611,10.7418689999969,59.9084540000139,4,39
18,BENTSEBRUGATA,380,10.7591699999983,59.9392299999667,9,24
19,BERNT ANKERS GATE,538,10.7537067999987,59.9147887000013,11,22
20,BI NYDALEN,438,10.768576000002,59.9492389999827,9,41
21,BIRKELUNDEN,424,10.7609260000058,59.9256112999612,12,9
22,BISKOP GUNNERUS' GATE,527,10.7522919999974,59.9123341000066,11,12
23,BISLETT STADION,446,10.7312462979271,59.9254786554321,13,24
24,BISLETTGATA,620,10.7346900610965,59.9237923721781,14,40
25,BJERREGAARDS GATE,499,10.7460580000048,59.9254879999959,15,21
26,BJERREGAARDSGATE ØST,617,10.7497639270662,59.9271864891458,2,15
27,BJØLSEN MØLLE,593,10.7687723949239,59.9392241203381,16,30
28,BJØLSEN STUDENTBY,394,10.7601873072228,59.9437676916254,9,21
29,BJØLSENDUMPA,420,10.7661221162653,59.9403319638932,16,21
30,BJØRVIKA,465,10.756180000007,59.9090060000205,3,30
31,BLINDERN STUDENTHUS,486,10.7264765941988,59.9352211456172,17,24
32,BLINDERN STUDENTPARKERING,474,10.7208118973946,59.940905236561,10,42
33,BOGSTADVEIEN,579,10.724627999997,59.9247320000589,18,18
34,BORGENVEIEN,1009,10.7038330312546,59.9427421064753,19,10
35,BOTANISK HAGE SØR,460,10.7694421326901,59.9153652353205,20,29
36,BOTANISK HAGE SØR VEST,569,10.7663359758933,59.9178191656622,21,30
37,BOTANISK HAGE VEST,506,10.7689538059769,59.9201010419518,22,27
38,BRISKEBY,427,10.7179780000006,59.9202179999767,23,15
39,BRUGATA,491,10.7572967583767,59.913659276005,5,18
40,BRYN T BANE,532,10.8141990000003,59.909237999997,24,21
41,BRYNSENG T BANE,532,10.8143002272929,59.9091907883803,24,21
42,BYGDØY ALLÉ,746,10.6923209999984,59.9190010000019,25,12
43,BØKKERVEIEN,513,10.7960146999988,59.9273747000086,26,15
44,CARL BERNERS PLASS NORD,487,10.7769709999994,59.9269290000055,27,21
45,CARL BERNERS PLASS SØR,406,10.7759959999994,59.925070000049,27,12
46,CHR MICHELSENS GATE,431,10.7731849999983,59.9272920000194,27,20
47,COLBJØRNSENS GATE,548,10.7168704946583,59.9173100587514,23,18
