n_players,price,base_price,Q,Qs_per_player,eq_tput
6,"[0.770332061535234, 0.8553322530577819, 0.9203902965060754, 1, 0.9746771104193958, 0.9671729159558269]",0.8842203474450956,40,"[34, 2, 1, 1, 1, 1]",34.42359768094676
6,"[0.6064152189147112, 0.6492985405158133, 0.5666889101142341, 0.6503459969606922, 0.5325784716318355, 0.6818244860383638]",0.6179451965340723,104,"[20, 8, 29, 7, 39, 1]",69.9246501081056
6,"[0.4865568006008587, 0.6388103045490211, 0.5323240944901021, 0.5194143647295442, 0.6075799684902639, 0.49467285727139104]",0.5602439222655119,117,"[34, 1, 22, 25, 4, 31]",72.71037939024662
6,"[0.5835492045111088, 0.5761035648133597, 0.551392496125538, 0.4816637323005716, 0.4815398900939892, 0.5526693730653695]",0.48745200023963176,118,"[10, 10, 16, 33, 33, 16]",72.84470220705784
6,"[0.40063202091529704, 0.2, 0.24823432105850143, 0.5509907107491409, 0.26889465840872695, 0.4496147145158819]",0.3255336315350837,195,"[1, 67, 67, 1, 58, 1]",74.19513105549034
6,"[0.5440903840705545, 0.6424442520042306, 0.641571804107647, 0.4972198842994093, 0.679086438034455, 0.6186305035169268]",0.5439991959263526,106,"[33, 7, 7, 45, 1, 13]",70.48350640904108
6,"[1, 0.85662807984814, 0.9351226298376075, 0.9951484793108321, 0.9874934878054062, 1]",0.9464933085254195,24,"[1, 19, 1, 1, 1, 1]",21.710389772226847
6,"[0.7867176764008734, 0.799580361934181, 0.7059723261037614, 1, 0.8700254655107911, 0.7197590271256181]",0.7957303915339415,65,"[3, 1, 32, 1, 1, 27]",51.51250494893721
6,"[0.59645481887957, 0.8220256488103896, 0.7984824602532453, 0.6632042242397801, 0.6480429118930735, 0.6613041509068913]",0.679976021517344,93,"[37, 1, 1, 16, 21, 17]",66.05415764774301
6,"[0.6712941229999874, 0.48029428535652735, 0.5978685508975892, 0.5678794735918946, 0.5200439316357549, 0.3881401009491593]",0.4892885205725258,121,"[1, 31, 3, 10, 22, 54]",73.18772461558
6,"[0.7115085592290157, 0.6470381820388638, 0.600762056739547, 0.6282325003558448, 0.6326248113914064, 0.6551407874255156]",0.6575858202401275,98,"[1, 15, 29, 21, 20, 12]",67.97325553929035
6,"[0.9283568850306941, 1, 0.9387238027052989, 0.7792831991213433, 1, 0.9264149505924437]",0.959637592863374,38,"[1, 1, 1, 33, 1, 1]",32.90973627792523
6,"[0.2, 0.2943470177634138, 0.2, 0.2, 0.29000729874009046, 0.21970964608936971]",0.2091238672718701,262,"[67, 1, 67, 67, 1, 59]",74.29206145725274
6,"[0.8264765291247065, 0.8730325100448518, 0.7352601023196409, 0.8437271696698984, 0.7431218711267387, 0.8713621481650226]",0.8498046846340863,59,"[1, 1, 29, 1, 26, 1]",47.727603263210426
6,"[0.3866923256856261, 0.23855047648238809, 0.2, 0.4542371650109497, 0.2, 0.4443424685717802]",0.35683201255106206,204,"[1, 67, 67, 1, 67, 1]",74.21183543408551
6,"[0.609700135668045, 0.3912916984731669, 0.47566976408488115, 0.4957989542098484, 0.2124963022746042, 0.45490480328613736]",0.49497680533892796,143,"[1, 36, 13, 8, 67, 18]",74.03570572806146
6,"[0.2981301923865906, 0.3016779434458784, 0.4421897827029894, 0.3090345955447595, 0.39557001441416156, 0.38805116821093855]",0.27518173928846923,176,"[52, 51, 1, 47, 11, 14]",74.1542799684908
6,"[0.7071607790359915, 0.546037208099617, 0.5051357232072694, 0.5171671026020795, 0.6607163256805252, 0.3855842093056928]",0.5667951842797305,120,"[1, 16, 25, 23, 1, 54]",73.08297246616952
6,"[0.6520467040688928, 0.741597677909532, 0.9268261788650523, 0.6532018681607773, 0.683958230078927, 0.6777857570648387]",0.7635768204706517,87,"[27, 1, 1, 26, 15, 17]",63.438871119395856
6,"[0.4449007116791129, 0.6073838405254376, 0.308649457021676, 0.597627593438395, 0.5165109347364457, 0.4595941675814125]",0.4841118046731011,132,"[30, 1, 63, 1, 12, 25]",73.85273491678983
6,"[0.6879479629033152, 0.6762559834263563, 0.7225796469153394, 0.8167392109130168, 0.6533743524496004, 0.654687207957091]",0.6708087459691439,87,"[15, 18, 3, 1, 25, 25]",63.438871119395856
6,"[0.4373637941881857, 0.5546367495929072, 0.3936312754575863, 0.5734382603792368, 0.4546361610904929, 0.6489013556238685]",0.45766251103551076,126,"[36, 8, 46, 3, 32, 1]",73.58597186384434
6,"[0.735707206637114, 0.951592818631606, 0.8472783093494376, 0.7691560613308385, 1, 0.7187015362423106]",0.8162875202099826,64,"[23, 1, 1, 10, 1, 28]",50.89616964084457
6,"[0.27606014616537866, 0.2, 0.24656643124455235, 0.2, 0.44729934236654534, 0.30790325261982876]",0.20490579732741399,232,"[33, 67, 54, 67, 1, 10]",74.25555190963698
6,"[0.6123423967270126, 0.6332559585801429, 0.6385135568672402, 0.6177522263003719, 0.6107508850409533, 0.5327729607440491]",0.6314605088955101,105,"[17, 11, 10, 14, 16, 37]",70.20997147875296
6,"[0.36334149146864864, 0.2706728478909374, 0.2218914855011327, 0.2, 0.2, 0.2]",0.24329478971324284,266,"[1, 9, 55, 67, 67, 67]",74.29630950948462
6,"[0.20367744147195008, 0.3588622053405962, 0.4480732691551037, 0.3816126538088964, 0.4232141749311168, 0.4116886996293057]",0.35672558446714914,163,"[67, 35, 4, 27, 13, 17]",74.12065475667883
6,"[0.9414796868584491, 0.667355791890911, 0.8448379752065048, 0.9233438557795799, 0.9165104507537216, 0.7207759007541983]",0.784172588999829,69,"[1, 43, 1, 1, 1, 22]",53.91822941450942
6,"[0.44274210770822425, 0.47715728210539626, 0.4198801502961229, 0.2942032458987803, 0.40203487687233525, 0.3264828726082173]",0.46521116269377843,158,"[9, 1, 17, 59, 23, 49]",74.10578897234876
6,"[0.6010066070072582, 0.7754556111298123, 0.8482508125599687, 0.7771399053229641, 0.702702063030031, 0.8385373229028731]",0.8519553608352748,78,"[55, 1, 1, 1, 19, 1]",58.963177806093334
6,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",0.24296336974929283,311,"[52, 52, 52, 52, 52, 51]",74.33659452403937
6,"[0.5769510180173286, 0.32863900190708095, 0.4492844403986792, 0.2899033159240281, 0.44274005239184416, 0.5021042360577183]",0.4707537522389485,149,"[1, 52, 15, 63, 17, 1]",74.07215204538282
6,"[0.777608450747503, 0.9594835167320955, 0.7504564814878829, 0.848760457787637, 0.7637132797246555, 0.8035891337913444]",0.8432891956570767,59,"[13, 1, 23, 1, 18, 3]",47.727603263210426
6,"[0.39779590181588875, 0.42470107432291837, 0.5556087714257117, 0.39033160010417367, 0.2933421047424332, 0.44618858599949074]",0.4363932952789249,153,"[28, 20, 1, 30, 61, 13]",74.0887792467792
6,"[0.5841747250543318, 0.6382004557060514, 0.6487318675403888, 0.5087499266230161, 0.6719387772764313, 0.6872865552460625]",0.6465534777234736,102,"[29, 12, 9, 48, 3, 1]",69.31914892539562
6,"[0.7629662088354238, 0.9113102055125296, 0.8050588878260969, 0.7784611067338744, 0.8010396693358198, 0.8992424563031324]",0.8331292285543759,55,"[22, 1, 7, 17, 7, 1]",45.09084089691889
6,"[0.9327674227325758, 0.8260780408271313, 0.7206849087595806, 0.6565346409052224, 0.7711180559205831, 0.694133198574508]",0.7118317514174326,77,"[1, 1, 15, 36, 1, 23]",58.42916241823073
6,"[0.2, 0.2535272724240755, 0.2, 0.2398064754909116, 0.2955404470611513, 0.41279249220526915]",0.21922040149436361,242,"[67, 43, 67, 54, 10, 1]",74.26872339252202
6,"[0.5154629858610917, 0.5704607609503821, 0.5294550239351627, 0.8794367256324668, 0.5090463256374227, 0.47011743077194634]",0.6392932076838045,119,"[25, 11, 21, 1, 26, 35]",72.96877092565356
