n_players,price,base_price,Q,Qs_per_player,eq_tput
6,"[0.6649873990923869, 0.6704999138350376, 0.4217528033733833, 0.7832967176543179, 0.6474472657420095, 0.5192371140122698]",0.6245909020457856,108,"[1, 1, 64, 1, 4, 37]",70.99486358805896
6,"[0.7502304964337487, 0.641613591214484, 0.7039828618594033, 0.7970626956068833, 0.588209302102296, 1.0330969547757074]",0.73003025652648,88,"[1, 29, 9, 1, 47, 1]",63.89670397954317
6,"[0.662690215142789, 0.6390870726789675, 0.4674194567007337, 0.5374997949005398, 0.6101939808346974, 0.45883306787643635]",0.5350448363296754,115,"[1, 1, 42, 23, 5, 43]",72.40959873426823
6,"[0.7247134356158196, 0.8411829575750198, 0.8553095342938488, 0.7247449052897117, 0.9702753035380602, 0.8146200480010583]",0.7978125179013561,62,"[29, 1, 1, 29, 1, 1]",49.64598725592317
6,"[0.7367117241782843, 0.728244145106739, 0.8148169296414349, 0.9006972312273094, 0.8985480405588082, 0.63548032704252]",0.851577283047948,75,"[11, 14, 1, 1, 1, 47]",57.340634260764766
6,"[0.5721444565285925, 0.6329066337982457, 0.7374026744475599, 0.6454412960110996, 0.7110245565371667, 0.6034438993091862]",0.6388894890555332,98,"[36, 18, 1, 15, 1, 27]",67.97325553929035
6,"[0.7435272350939414, 0.5503131400252761, 0.7926760363121639, 0.5381916102446291, 0.7254143620103521, 0.6278266366042935]",0.6199523164634176,101,"[1, 40, 1, 42, 1, 16]",68.99927027150068
6,"[1.0853997461300922, 0.9337654169543872, 0.6661487882412561, 0.9010492137902992, 1.006840485376974, 1.0305570474975054]",0.9327116170395756,59,"[1, 1, 54, 1, 1, 1]",47.727603263210426
6,"[1.0502540844854367, 1.146948546355679, 1.0662959553143885, 0.9483721034683071, 0.9950654703151227, 0.9467601149020254]",0.9899612679140788,8,"[1, 1, 1, 2, 1, 2]",7.59814667203172
6,"[0.9512346074274253, 1.2540971548898698, 0.9902923024901984, 1.0156472602149957, 0.922651433106808, 0.8942275984110373]",0.9698802220856164,17,"[1, 1, 1, 1, 2, 11]",15.711266760811265
