model,n_stations,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,10,discrete_step,none,RK45,5,0.1,0.381487400230319,0.225160832999791,0.163028592000046,0.0105357803134444,0.00598353790997505
0,10,discrete_step,none,RK45,5,0.05,0.190743700115159,0.226811890000135,0.163028592000046,0.00649126672012666,0.00413737835755076
0,10,discrete_step,none,RK45,5,0.025,0.0953718500575797,0.265572112000882,0.163028592000046,0.00694839385367106,0.0047925506778633
0,10,discrete_step,none,BDF,5,0.1,0.381487400230319,0.29118675799964,0.153948170000149,0.0106644030409134,0.00601871766806337
0,10,discrete_step,none,BDF,5,0.05,0.190743700115159,0.381265527999858,0.153948170000149,0.0065882877601694,0.0041694463042428
0,10,discrete_step,none,BDF,5,0.025,0.0953718500575797,0.635259231999953,0.153948170000149,0.00713900966669084,0.00484589612642672
1,11,discrete_step,none,RK45,5,0.1,0.42969842847035,0.259002069000417,0.177324336000311,0.0100654448512863,0.00541874212362409
1,11,discrete_step,none,RK45,5,0.05,0.214849214235175,0.267459231999965,0.177324336000311,0.0073650800738309,0.0045670542377371
1,11,discrete_step,none,RK45,5,0.025,0.107424607117587,0.306421303000207,0.177324336000311,0.0100847098779445,0.00626649906678683
1,11,discrete_step,none,BDF,5,0.1,0.42969842847035,0.282775630999822,0.088934092999807,0.0101044471583355,0.00545291641757793
1,11,discrete_step,none,BDF,5,0.05,0.214849214235175,0.415960344999803,0.088934092999807,0.00755823357875607,0.00466711087773322
1,11,discrete_step,none,BDF,5,0.025,0.107424607117587,0.73711642499984,0.088934092999807,0.0103687350682308,0.00641609273574515
2,14,discrete_step,none,RK45,5,0.1,0.409044358207494,0.374049322999781,0.293258443000013,0.0131969732405601,0.00663606552003509
2,14,discrete_step,none,RK45,5,0.05,0.204522179103747,0.432829214999401,0.293258443000013,0.0102576460885914,0.00545762591952119
2,14,discrete_step,none,RK45,5,0.025,0.102261089551874,0.477539608999905,0.293258443000013,0.0130691783583434,0.00682308814779229
2,14,discrete_step,none,BDF,5,0.1,0.409044358207494,0.427581893000024,0.510789154000122,0.0132616897128784,0.00671362169068427
2,14,discrete_step,none,BDF,5,0.05,0.204522179103747,0.699082255000576,0.510789154000122,0.0104795635591953,0.00557125024829821
2,14,discrete_step,none,BDF,5,0.025,0.102261089551874,1.17729321300067,0.510789154000122,0.0132808128582277,0.00694898645110311
3,12,discrete_step,none,RK45,5,0.1,0.414315197019973,0.289184322000438,0.223539372000232,0.0127491477823755,0.00574417112009445
3,12,discrete_step,none,RK45,5,0.05,0.207157598509987,0.326511737000146,0.223539372000232,0.00823618892941963,0.0034308315444315
3,12,discrete_step,none,RK45,5,0.025,0.103578799254993,0.356795849999799,0.223539372000232,0.00843756583555248,0.00395914588174518
3,12,discrete_step,none,BDF,5,0.1,0.414315197019973,0.584241870000369,0.105606916000397,0.0128804711654504,0.00579191819182639
3,12,discrete_step,none,BDF,5,0.05,0.207157598509987,1.02909827499934,0.105606916000397,0.0085853506181795,0.00354822729719754
3,12,discrete_step,none,BDF,5,0.025,0.103578799254993,1.80136630400011,0.105606916000397,0.00882120717318613,0.00407708143360484
4,15,discrete_step,none,RK45,5,0.1,0.406844477724278,0.410358135999559,0.311862648999522,0.0127534820353007,0.00587168202716349
4,15,discrete_step,none,RK45,5,0.05,0.203422238862139,0.478536528000404,0.311862648999522,0.00811956804580204,0.00378771523809823
4,15,discrete_step,none,RK45,5,0.025,0.10171111943107,0.501847462999649,0.311862648999522,0.0089813570441924,0.00498947330112713
4,15,discrete_step,none,BDF,5,0.1,0.406844477724278,0.875784484999713,0.345291171000099,0.0128199413115782,0.0059363709489581
4,15,discrete_step,none,BDF,5,0.05,0.203422238862139,1.47984506800003,0.345291171000099,0.00838616990443405,0.00389273098262622
4,15,discrete_step,none,BDF,5,0.025,0.10171111943107,2.76707828500002,0.345291171000099,0.00917612512753127,0.00503586074185082
5,13,discrete_step,none,RK45,5,0.1,0.405705323515613,0.335104003000197,0.271354327000154,0.0127688129974538,0.00576059313353099
5,13,discrete_step,none,RK45,5,0.05,0.202852661757806,0.396991775999595,0.271354327000154,0.00806646085054631,0.00451674804762558
5,13,discrete_step,none,RK45,5,0.025,0.101426330878903,0.412706682000135,0.271354327000154,0.00978885433232402,0.00560652862918861
5,13,discrete_step,none,BDF,5,0.1,0.405705323515613,0.390019557999949,0.320626166999318,0.0128220570761268,0.00573928076779927
5,13,discrete_step,none,BDF,5,0.05,0.202852661757806,0.562823606000165,0.320626166999318,0.00832041285351547,0.00449404954218001
5,13,discrete_step,none,BDF,5,0.025,0.101426330878903,0.968779595000342,0.320626166999318,0.0100635019615925,0.00560240429213044
6,14,discrete_step,none,RK45,5,0.1,0.391518507332969,0.395261579999897,0.261382794999918,0.0172546548207004,0.00678288321359053
6,14,discrete_step,none,RK45,5,0.05,0.195759253666485,0.417314475999774,0.261382794999918,0.0117383744253972,0.00583605630193702
