hour,start_cell,end,hourly_demand
3.0,0,0,0.0192307692307692
3.0,0,219,0.0096153846153846
3.0,1,0,0.0096153846153846
3.0,1,3,0.0096153846153846
3.0,1,52,0.125
3.0,1,70,0.0096153846153846
3.0,1,129,0.0096153846153846
3.0,1,146,0.0096153846153846
3.0,1,162,0.0096153846153846
3.0,1,209,0.0192307692307692
3.0,2,52,0.0096153846153846
3.0,3,82,0.0096153846153846
3.0,3,129,0.0096153846153846
3.0,6,174,0.0096153846153846
3.0,7,3,0.0096153846153846
3.0,7,147,0.0096153846153846
3.0,7,198,0.0096153846153846
3.0,7,220,0.0096153846153846
3.0,8,169,0.048076923076923
3.0,9,52,0.1538461538461538
3.0,9,70,0.0096153846153846
3.0,9,115,0.0096153846153846
3.0,9,152,0.0096153846153846
3.0,9,167,0.0192307692307692
4.0,0,0,0.0192307692307692
4.0,0,49,0.0096153846153846
4.0,0,52,0.0096153846153846
4.0,0,147,0.0192307692307692
4.0,0,155,0.0192307692307692
4.0,0,162,0.0096153846153846
4.0,0,198,0.0096153846153846
4.0,0,209,0.0192307692307692
4.0,0,218,0.0096153846153846
4.0,0,219,0.0673076923076923
4.0,0,220,0.0096153846153846
4.0,0,285,0.0192307692307692
4.0,1,0,0.0961538461538461
4.0,1,11,0.048076923076923
4.0,1,52,0.0865384615384615
4.0,1,70,0.0096153846153846
4.0,1,122,0.0096153846153846
4.0,1,129,0.0192307692307692
4.0,1,146,0.0769230769230769
4.0,1,174,0.0288461538461538
4.0,1,209,0.0288461538461538
4.0,1,219,0.0865384615384615
4.0,2,0,0.0288461538461538
4.0,2,52,0.0192307692307692
4.0,2,97,0.0096153846153846
4.0,2,129,0.0096153846153846
4.0,2,146,0.0096153846153846
4.0,2,162,0.048076923076923
4.0,2,167,0.0096153846153846
4.0,2,209,0.0192307692307692
4.0,2,218,0.0769230769230769
4.0,2,270,0.0096153846153846
4.0,2,285,0.0096153846153846
4.0,3,3,0.0384615384615384
4.0,3,146,0.0096153846153846
4.0,3,162,0.0096153846153846
4.0,3,167,0.0096153846153846
4.0,3,198,0.0096153846153846
4.0,4,220,0.0096153846153846
4.0,5,270,0.0769230769230769
4.0,6,122,0.0192307692307692
4.0,6,147,0.0096153846153846
4.0,6,174,0.0096153846153846
4.0,6,270,0.0096153846153846
4.0,7,0,0.0576923076923076
4.0,7,1,0.0096153846153846
4.0,7,12,0.0096153846153846
4.0,7,49,0.0288461538461538
4.0,7,108,0.0096153846153846
4.0,7,129,0.0192307692307692
4.0,7,147,0.0096153846153846
4.0,7,153,0.0576923076923076
4.0,7,174,0.0192307692307692
4.0,7,198,0.0384615384615384
4.0,7,209,0.0769230769230769
4.0,7,220,0.0096153846153846
4.0,7,264,0.0096153846153846
4.0,7,270,0.0096153846153846
4.0,7,277,0.0096153846153846
4.0,8,52,0.0384615384615384
4.0,8,82,0.0096153846153846
4.0,8,169,0.0673076923076923
4.0,8,218,0.0096153846153846
4.0,8,285,0.0192307692307692
4.0,9,0,0.0096153846153846
4.0,9,11,0.0096153846153846
4.0,9,14,0.0192307692307692
4.0,9,52,0.3557692307692308
4.0,9,108,0.0096153846153846
4.0,9,129,0.0288461538461538
4.0,9,152,0.0096153846153846
4.0,9,153,0.0288461538461538
4.0,9,165,0.0096153846153846
4.0,9,167,0.0288461538461538
4.0,9,209,0.0096153846153846
4.0,9,219,0.0192307692307692
4.0,9,264,0.0096153846153846
4.0,9,270,0.0096153846153846
5.0,0,0,0.0192307692307692
5.0,0,3,0.048076923076923
5.0,0,11,0.0096153846153846
5.0,0,12,0.0288461538461538
5.0,0,49,0.0288461538461538
5.0,0,52,0.0192307692307692
5.0,0,71,0.0192307692307692
5.0,0,108,0.1153846153846153
5.0,0,122,0.0288461538461538
5.0,0,132,0.0096153846153846
5.0,0,146,0.0096153846153846
5.0,0,147,0.1057692307692307
5.0,0,152,0.0192307692307692
5.0,0,153,0.0096153846153846
5.0,0,154,0.0096153846153846
5.0,0,155,0.0096153846153846
5.0,0,162,0.173076923076923
5.0,0,165,0.0192307692307692
5.0,0,198,0.0288461538461538
5.0,0,209,0.0769230769230769
5.0,0,216,0.0288461538461538
5.0,0,219,0.2307692307692307
5.0,0,220,0.0192307692307692
5.0,0,277,0.0384615384615384
5.0,1,0,0.1057692307692307
5.0,1,3,0.2019230769230769
5.0,1,11,0.0769230769230769
5.0,1,12,0.0096153846153846
5.0,1,52,0.048076923076923
5.0,1,70,0.0384615384615384
5.0,1,90,0.0288461538461538
5.0,1,96,0.0288461538461538
5.0,1,122,0.048076923076923
5.0,1,129,0.0961538461538461
5.0,1,132,0.0192307692307692
5.0,1,146,0.0576923076923076
5.0,1,150,0.0096153846153846
5.0,1,152,0.0096153846153846
5.0,1,153,0.0769230769230769
5.0,1,167,0.0192307692307692
5.0,1,169,0.0096153846153846
5.0,1,174,0.0384615384615384
5.0,1,198,0.0192307692307692
5.0,1,209,0.0192307692307692
5.0,1,216,0.0288461538461538
5.0,1,218,0.0769230769230769
5.0,1,219,0.0769230769230769
5.0,1,270,0.3846153846153846
5.0,1,285,0.048076923076923
5.0,2,0,0.0192307692307692
5.0,2,52,0.0096153846153846
5.0,2,55,0.0096153846153846
5.0,2,90,0.0096153846153846
5.0,2,97,0.048076923076923
5.0,2,108,0.0096153846153846
