,hour,start_cell,end_cell,end,prob
1,3.0,0,3,0,1.0
5,3.0,0,4,219,1.0
8,3.0,1,3,0,0.0625
9,3.0,1,3,3,0.0625
12,3.0,1,3,52,0.8125
15,3.0,1,1,70,1.0
20,3.0,1,6,129,0.5
22,3.0,1,6,146,0.5
24,3.0,1,3,162,0.0625
30,3.0,1,4,209,1.0
39,3.0,2,3,52,1.0
45,3.0,3,8,82,1.0
47,3.0,3,6,129,1.0
56,3.0,6,1,174,1.0
59,3.0,7,3,3,0.5
65,3.0,7,7,147,1.0
66,3.0,7,3,198,0.5
68,3.0,7,4,220,1.0
77,3.0,8,1,169,1.0
86,3.0,9,3,52,1.0
88,3.0,9,1,70,1.0
89,3.0,9,7,115,1.0
93,3.0,9,0,152,1.0
94,3.0,9,6,167,1.0
532,4.0,0,3,0,0.4
535,4.0,0,0,49,0.3333333333333333
538,4.0,0,3,52,0.2
553,4.0,0,7,147,1.0
554,4.0,0,0,155,0.6666666666666666
556,4.0,0,3,162,0.2
561,4.0,0,3,198,0.2
562,4.0,0,4,209,0.2
564,4.0,0,6,218,1.0
565,4.0,0,4,219,0.7000000000000001
566,4.0,0,4,220,0.1
572,4.0,0,1,285,1.0
573,4.0,1,3,0,0.5263157894736842
577,4.0,1,6,11,0.3333333333333333
586,4.0,1,3,52,0.4736842105263158
590,4.0,1,1,70,0.2
603,4.0,1,1,122,0.2
606,4.0,1,6,129,0.1333333333333333
612,4.0,1,6,146,0.5333333333333333
617,4.0,1,1,174,0.6
626,4.0,1,4,209,0.25
628,4.0,1,4,219,0.7499999999999999
646,4.0,2,3,0,0.3
651,4.0,2,3,52,0.2
658,4.0,2,2,97,1.0
663,4.0,2,6,129,0.0909090909090909
664,4.0,2,6,146,0.0909090909090909
666,4.0,2,3,162,0.5
667,4.0,2,6,167,0.0909090909090909
674,4.0,2,4,209,1.0
677,4.0,2,6,218,0.7272727272727272
683,4.0,2,7,270,1.0
685,4.0,2,1,285,1.0
687,4.0,3,3,3,0.6666666666666666
695,4.0,3,6,146,0.5
697,4.0,3,3,162,0.1666666666666666
698,4.0,3,6,167,0.5
702,4.0,3,3,198,0.1666666666666666
718,4.0,4,4,220,1.0
726,4.0,5,7,270,1.0
731,4.0,6,1,122,0.6666666666666666
732,4.0,6,7,147,0.5
734,4.0,6,1,174,0.3333333333333333
743,4.0,6,7,270,0.5
745,4.0,7,3,0,0.6
746,4.0,7,7,1,0.3333333333333333
748,4.0,7,6,12,0.3333333333333333
754,4.0,7,0,49,0.3
762,4.0,7,4,108,0.1
766,4.0,7,6,129,0.6666666666666666
769,4.0,7,7,147,0.3333333333333333
770,4.0,7,0,153,0.6
772,4.0,7,1,174,1.0
782,4.0,7,3,198,0.4
785,4.0,7,4,209,0.8
788,4.0,7,4,220,0.1
799,4.0,7,5,264,1.0
803,4.0,7,7,270,0.3333333333333333
805,4.0,7,0,277,0.1
815,4.0,8,3,52,1.0
817,4.0,8,8,82,1.0
825,4.0,8,1,169,0.7777777777777778
834,4.0,8,6,218,1.0
840,4.0,8,1,285,0.2222222222222222
842,4.0,9,3,0,0.0263157894736842
846,4.0,9,6,11,0.1428571428571428
848,4.0,9,9,14,0.6666666666666666
859,4.0,9,3,52,0.9736842105263156
870,4.0,9,4,108,0.25
873,4.0,9,6,129,0.4285714285714285
877,4.0,9,0,152,0.25
878,4.0,9,0,153,0.75
882,4.0,9,9,165,0.3333333333333333
884,4.0,9,6,167,0.4285714285714285
893,4.0,9,4,209,0.25
897,4.0,9,4,219,0.5
904,4.0,9,5,264,1.0
909,4.0,9,7,270,1.0
2653,5.0,0,3,0,0.064516129032258
2654,5.0,0,3,3,0.1612903225806451
2657,5.0,0,6,11,0.125
2658,5.0,0,6,12,0.375
2673,5.0,0,0,49,0.2142857142857142
2675,5.0,0,3,52,0.064516129032258
2682,5.0,0,0,71,0.1428571428571428
2692,5.0,0,4,108,0.2608695652173913
2696,5.0,0,1,122,1.0
2700,5.0,0,3,132,0.032258064516129
2705,5.0,0,6,146,0.125
2706,5.0,0,7,147,1.0
2707,5.0,0,0,152,0.1428571428571428
2708,5.0,0,0,153,0.0714285714285714
2709,5.0,0,0,154,0.0714285714285714
2710,5.0,0,0,155,0.0714285714285714
2712,5.0,0,3,162,0.5806451612903226
2713,5.0,0,9,165,1.0
2726,5.0,0,3,198,0.0967741935483871
2730,5.0,0,4,209,0.1739130434782609
2734,5.0,0,6,216,0.375
2736,5.0,0,4,219,0.5217391304347827
2737,5.0,0,4,220,0.0434782608695652
2754,5.0,0,0,277,0.2857142857142857
2758,5.0,1,3,0,0.2682926829268293
2760,5.0,1,3,3,0.5121951219512195
2765,5.0,1,6,11,0.2105263157894736
2766,5.0,1,6,12,0.0263157894736842
2780,5.0,1,3,52,0.1219512195121951
2787,5.0,1,1,70,0.1818181818181818
2797,5.0,1,1,90,0.1363636363636363
2801,5.0,1,2,96,0.75
2813,5.0,1,1,122,0.2272727272727272
2817,5.0,1,6,129,0.263157894736842
2818,5.0,1,3,132,0.048780487804878
2826,5.0,1,6,146,0.1578947368421052
2827,5.0,1,2,150,0.25
2828,5.0,1,0,152,0.1111111111111111
2829,5.0,1,0,153,0.888888888888889
2836,5.0,1,6,167,0.0526315789473684
2837,5.0,1,1,169,0.0454545454545454
2838,5.0,1,1,174,0.1818181818181818
2851,5.0,1,3,198,0.048780487804878
2857,5.0,1,4,209,0.2
2861,5.0,1,6,216,0.0789473684210526
2862,5.0,1,6,218,0.2105263157894736
2863,5.0,1,4,219,0.8000000000000002
2883,5.0,1,7,270,1.0
2887,5.0,1,1,285,0.2272727272727272
2888,5.0,2,3,0,0.4
2909,5.0,2,3,52,0.2
2911,5.0,2,6,55,0.0833333333333333
2923,5.0,2,1,90,0.0714285714285714
2926,5.0,2,2,97,0.7142857142857142
2931,5.0,2,4,108,0.2
2934,5.0,2,1,122,0.2142857142857142
2936,5.0,2,6,129,0.1666666666666666
2941,5.0,2,6,146,0.25
2942,5.0,2,8,148,1.0
2944,5.0,2,2,150,0.2857142857142857
2947,5.0,2,9,165,1.0
2948,5.0,2,6,167,0.0833333333333333
2949,5.0,2,1,169,0.0714285714285714
2955,5.0,2,3,198,0.4
2961,5.0,2,4,209,0.4
