,name,start_station_id,longitude,latitude,cell,capacity
0,7 JUNI PLASSEN,623,10.731271500000707,59.91505960002149,0,21
1,ADAMSTUEN,425,10.734457000001543,59.93279200000635,1,8
2,AHO,444,10.75046200000931,59.92526500001666,2,20
3,AKER BRYGGE,1755,10.73003455685099,59.91118372187468,0,32
4,AKERSELVALLMENNINGEN,2333,10.754884663590031,59.90725889890308,3,15
5,AKERSGATA,557,10.74288279999766,59.91419709999952,4,21
6,ALEXANDER KIELLANDS PLASS,421,10.75127527227647,59.92806345261659,2,24
7,ANKER HOSTEL,500,10.75815530000234,59.91727940000602,5,12
8,ANKER HOTEL,500,10.758155300002295,59.91727940000541,5,12
9,ANNETTE THOMMESSENS PLASS,574,10.760999799997563,59.91073929999903,6,12
10,ARENDALSGATA,472,10.754099999998038,59.93779999998075,7,24
11,ARKADEN NORD,577,10.748052700000631,59.912147200007816,8,30
12,ARKADEN SØR,545,10.747858300000397,59.91196910000573,8,39
13,ARKITEKT RIVERTZ PLASS,383,10.7494660000037,59.93493600002072,7,29
14,BADEBAKKEN,592,10.760359784513748,59.94558369759284,9,18
15,BAK NIELS TRESCHOWS HUS NORD,619,10.72301679876406,59.9427714212947,10,42
16,BAK NIELS TRESCHOWS HUS SØR,618,10.723770563469392,59.942460728615735,10,42
17,BANKPLASSEN,611,10.741868999996857,59.908454000013926,4,39
18,BENTSEBRUGATA,380,10.759169999998278,59.939229999966685,9,24
19,BERNT ANKERS GATE,538,10.753706799998705,59.914788700001274,11,660
20,BI NYDALEN,438,10.768576000001952,59.94923899998273,9,41
21,BIRKELUNDEN,424,10.760926000005806,59.92561129996116,12,9
22,BISKOP GUNNERUS' GATE,527,10.752291999997388,59.91233410000661,11,12
23,BISLETT STADION,446,10.73124629792713,59.92547865543206,13,24
24,BISLETTGATA,620,10.734690061096538,59.92379237217806,14,40
25,BJERREGAARDS GATE,499,10.746058000004806,59.9254879999959,15,21
26,BJERREGAARDSGATE ØST,617,10.74976392706619,59.92718648914582,2,15
27,BJØLSEN MØLLE,593,10.768772394923898,59.939224120338146,16,30
28,BJØLSEN STUDENTBY,394,10.760187307222832,59.943767691625446,9,21
